Plant #,Treatment,Germinant #,Germination Day,Block
1,NC->FL,1,0,1
1,NC->FL,2,0,1
1,NC->FL,3,0,1
1,NC->FL,4,0,1
1,NC->FL,5,0,1
1,NC->FL,6,0,1
1,NC->FL,7,29,1
1,NC->FL,8,0,1
1,NC->FL,9,34,1
1,NC->FL,10,0,1
1,NC->FL,11,0,1
1,NC->FL,12,0,1
1,NC->FL,13,31,1
1,NC->FL,14,0,1
1,NC->FL,15,20,1
1,NC->FL,16,22,1
1,NC->FL,17,26,1
1,NC->FL,18,27,1
1,NC->FL,19,0,1
1,NC->FL,20,0,1
2,CON->NC,1,0,1
2,CON->NC,2,0,1
2,CON->NC,3,0,1
2,CON->NC,4,0,1
2,CON->NC,5,0,1
2,CON->NC,6,0,1
2,CON->NC,7,35,1
2,CON->NC,8,0,1
2,CON->NC,9,0,1
2,CON->NC,10,0,1
2,CON->NC,11,0,1
2,CON->NC,12,0,1
2,CON->NC,13,0,1
2,CON->NC,14,0,1
2,CON->NC,15,0,1
2,CON->NC,16,0,1
2,CON->NC,17,22,1
2,CON->NC,18,0,1
2,CON->NC,19,0,1
2,CON->NC,20,0,1
3,FL->FL,1,26,1
3,FL->FL,2,0,1
3,FL->FL,3,0,1
3,FL->FL,4,0,1
3,FL->FL,5,32,1
3,FL->FL,6,0,1
3,FL->FL,7,19,1
3,FL->FL,8,0,1
3,FL->FL,9,0,1
3,FL->FL,10,0,1
3,FL->FL,11,32,1
3,FL->FL,12,0,1
3,FL->FL,13,0,1
3,FL->FL,14,0,1
3,FL->FL,15,0,1
3,FL->FL,16,0,1
3,FL->FL,17,0,1
3,FL->FL,18,0,1
3,FL->FL,19,0,1
3,FL->FL,20,0,1
4,CON->FL,1,19,1
4,CON->FL,2,0,1
4,CON->FL,3,19,1
4,CON->FL,4,0,1
4,CON->FL,5,0,1
4,CON->FL,6,0,1
4,CON->FL,7,19,1
4,CON->FL,8,0,1
4,CON->FL,9,19,1
4,CON->FL,10,19,1
4,CON->FL,11,19,1
4,CON->FL,12,0,1
4,CON->FL,13,19,1
4,CON->FL,14,0,1
4,CON->FL,15,19,1
4,CON->FL,16,22,1
4,CON->FL,17,0,1
4,CON->FL,18,0,1
4,CON->FL,19,0,1
4,CON->FL,20,0,1
5,CON->FL,1,19,2
5,CON->FL,2,0,2
5,CON->FL,3,0,2
5,CON->FL,4,0,2
5,CON->FL,5,22,2
5,CON->FL,6,0,2
5,CON->FL,7,20,2
5,CON->FL,8,0,2
5,CON->FL,9,19,2
5,CON->FL,10,19,2
5,CON->FL,11,19,2
5,CON->FL,12,19,2
5,CON->FL,13,19,2
5,CON->FL,14,19,2
5,CON->FL,15,0,2
5,CON->FL,16,0,2
5,CON->FL,17,19,2
5,CON->FL,18,0,2
5,CON->FL,19,19,2
5,CON->FL,20,0,2
6,FL->FL,1,22,2
6,FL->FL,2,0,2
6,FL->FL,3,19,2
6,FL->FL,4,22,2
6,FL->FL,5,0,2
6,FL->FL,6,0,2
6,FL->FL,7,19,2
6,FL->FL,8,0,2
6,FL->FL,9,0,2
6,FL->FL,10,0,2
6,FL->FL,11,19,2
6,FL->FL,12,19,2
6,FL->FL,13,19,2
6,FL->FL,14,19,2
6,FL->FL,15,19,2
6,FL->FL,16,19,2
6,FL->FL,17,0,2
6,FL->FL,18,0,2
6,FL->FL,19,19,2
6,FL->FL,20,19,2
7,CON->NC,1,0,2
7,CON->NC,2,0,2
7,CON->NC,3,0,2
7,CON->NC,4,0,2
7,CON->NC,5,0,2
7,CON->NC,6,0,2
7,CON->NC,7,22,2
7,CON->NC,8,0,2
7,CON->NC,9,19,2
7,CON->NC,10,0,2
7,CON->NC,11,24,2
7,CON->NC,12,31,2
7,CON->NC,13,22,2
7,CON->NC,14,22,2
7,CON->NC,15,0,2
7,CON->NC,16,0,2
7,CON->NC,17,20,2
7,CON->NC,18,0,2
7,CON->NC,19,0,2
7,CON->NC,20,0,2
8,CON->NC,1,24,3
8,CON->NC,2,0,3
8,CON->NC,3,0,3
8,CON->NC,4,0,3
8,CON->NC,5,0,3
8,CON->NC,6,0,3
8,CON->NC,7,20,3
8,CON->NC,8,0,3
8,CON->NC,9,0,3
8,CON->NC,10,0,3
8,CON->NC,11,19,3
8,CON->NC,12,26,3
8,CON->NC,13,24,3
8,CON->NC,14,0,3
8,CON->NC,15,19,3
8,CON->NC,16,0,3
8,CON->NC,17,0,3
8,CON->NC,18,0,3
8,CON->NC,19,20,3
8,CON->NC,20,0,3
9,CON->NC,1,0,4
9,CON->NC,2,0,4
9,CON->NC,3,0,4
9,CON->NC,4,0,4
9,CON->NC,5,0,4
9,CON->NC,6,0,4
9,CON->NC,7,0,4
9,CON->NC,8,0,4
9,CON->NC,9,0,4
9,CON->NC,10,0,4
9,CON->NC,11,0,4
9,CON->NC,12,0,4
9,CON->NC,13,0,4
9,CON->NC,14,0,4
9,CON->NC,15,0,4
9,CON->NC,16,0,4
9,CON->NC,17,29,4
9,CON->NC,18,33,4
9,CON->NC,19,0,4
9,CON->NC,20,0,4
10,FL->FL,1,13,3
10,FL->FL,2,0,3
10,FL->FL,3,0,3
10,FL->FL,4,0,3
10,FL->FL,5,0,3
10,FL->FL,6,0,3
10,FL->FL,7,19,3
10,FL->FL,8,24,3
10,FL->FL,9,19,3
10,FL->FL,10,24,3
10,FL->FL,11,19,3
10,FL->FL,12,19,3
10,FL->FL,13,19,3
10,FL->FL,14,0,3
10,FL->FL,15,25,3
10,FL->FL,16,0,3
10,FL->FL,17,0,3
10,FL->FL,18,0,3
10,FL->FL,19,19,3
10,FL->FL,20,0,3
11,NC->NC,1,19,1
11,NC->NC,2,19,1
11,NC->NC,3,24,1
11,NC->NC,4,0,1
11,NC->NC,5,0,1
11,NC->NC,6,0,1
11,NC->NC,7,36,1
11,NC->NC,8,0,1
11,NC->NC,9,29,1
11,NC->NC,10,0,1
11,NC->NC,11,37,1
11,NC->NC,12,0,1
11,NC->NC,13,37,1
11,NC->NC,14,0,1
11,NC->NC,15,0,1
11,NC->NC,16,0,1
11,NC->NC,17,28,1
11,NC->NC,18,0,1
11,NC->NC,19,0,1
11,NC->NC,20,0,1
12,FL->FL,1,0,4
12,FL->FL,2,0,4
12,FL->FL,3,0,4
12,FL->FL,4,0,4
12,FL->FL,5,0,4
12,FL->FL,6,0,4
12,FL->FL,7,36,4
12,FL->FL,8,0,4
12,FL->FL,9,37,4
12,FL->FL,10,38,4
12,FL->FL,11,19,4
12,FL->FL,12,22,4
12,FL->FL,13,0,4
12,FL->FL,14,0,4
12,FL->FL,15,27,4
12,FL->FL,16,0,4
12,FL->FL,17,0,4
12,FL->FL,18,0,4
12,FL->FL,19,29,4
12,FL->FL,20,0,4
13,FL->FL,1,36,5
13,FL->FL,2,0,5
13,FL->FL,3,0,5
13,FL->FL,4,0,5
13,FL->FL,5,12,5
13,FL->FL,6,0,5
13,FL->FL,7,12,5
13,FL->FL,8,0,5
13,FL->FL,9,19,5
13,FL->FL,10,0,5
13,FL->FL,11,19,5
13,FL->FL,12,0,5
13,FL->FL,13,0,5
13,FL->FL,14,0,5
13,FL->FL,15,0,5
13,FL->FL,16,0,5
13,FL->FL,17,13,5
13,FL->FL,18,0,5
13,FL->FL,19,13,5
13,FL->FL,20,19,5
14,NC->FL,1,0,2
14,NC->FL,2,0,2
14,NC->FL,3,0,2
14,NC->FL,4,0,2
14,NC->FL,5,0,2
14,NC->FL,6,0,2
14,NC->FL,7,24,2
14,NC->FL,8,0,2
14,NC->FL,9,0,2
14,NC->FL,10,0,2
14,NC->FL,11,0,2
14,NC->FL,12,0,2
14,NC->FL,13,22,2
14,NC->FL,14,0,2
14,NC->FL,15,0,2
14,NC->FL,16,0,2
14,NC->FL,17,19,2
14,NC->FL,18,22,2
14,NC->FL,19,19,2
14,NC->FL,20,19,2
15,NC->NC,1,0,2
15,NC->NC,2,0,2
15,NC->NC,3,36,2
15,NC->NC,4,0,2
15,NC->NC,5,0,2
15,NC->NC,6,0,2
15,NC->NC,7,31,2
15,NC->NC,8,0,2
15,NC->NC,9,0,2
15,NC->NC,10,0,2
15,NC->NC,11,0,2
15,NC->NC,12,0,2
15,NC->NC,13,33,2
15,NC->NC,14,0,2
15,NC->NC,15,0,2
15,NC->NC,16,0,2
15,NC->NC,17,0,2
15,NC->NC,18,0,2
15,NC->NC,19,0,2
15,NC->NC,20,0,2
16,NC->FL,1,28,3
16,NC->FL,2,0,3
16,NC->FL,3,14,3
16,NC->FL,4,37,3
16,NC->FL,5,0,3
16,NC->FL,6,0,3
16,NC->FL,7,22,3
16,NC->FL,8,0,3
16,NC->FL,9,20,3
16,NC->FL,10,31,3
16,NC->FL,11,31,3
16,NC->FL,12,0,3
16,NC->FL,13,0,3
16,NC->FL,14,0,3
16,NC->FL,15,19,3
16,NC->FL,16,0,3
16,NC->FL,17,22,3
16,NC->FL,18,0,3
16,NC->FL,19,29,3
16,NC->FL,20,39,3
17,NC->FL,1,19,4
17,NC->FL,2,0,4
17,NC->FL,3,0,4
17,NC->FL,4,0,4
17,NC->FL,5,19,4
17,NC->FL,6,0,4
17,NC->FL,7,19,4
17,NC->FL,8,34,4
17,NC->FL,9,19,4
17,NC->FL,10,19,4
17,NC->FL,11,19,4
17,NC->FL,12,19,4
17,NC->FL,13,24,4
17,NC->FL,14,0,4
17,NC->FL,15,19,4
17,NC->FL,16,19,4
17,NC->FL,17,20,4
17,NC->FL,18,0,4
17,NC->FL,19,36,4
17,NC->FL,20,0,4
18,FL->NC,1,0,1
18,FL->NC,2,0,1
18,FL->NC,3,34,1
18,FL->NC,4,0,1
18,FL->NC,5,0,1
18,FL->NC,6,0,1
18,FL->NC,7,30,1
18,FL->NC,8,0,1
18,FL->NC,9,31,1
18,FL->NC,10,0,1
18,FL->NC,11,33,1
18,FL->NC,12,0,1
18,FL->NC,13,0,1
18,FL->NC,14,0,1
18,FL->NC,15,20,1
18,FL->NC,16,0,1
18,FL->NC,17,0,1
18,FL->NC,18,0,1
18,FL->NC,19,29,1
18,FL->NC,20,0,1
19,FL->NC,1,0,2
19,FL->NC,2,0,2
19,FL->NC,3,19,2
19,FL->NC,4,0,2
19,FL->NC,5,19,2
19,FL->NC,6,0,2
19,FL->NC,7,0,2
19,FL->NC,8,0,2
19,FL->NC,9,0,2
19,FL->NC,10,0,2
19,FL->NC,11,0,2
19,FL->NC,12,0,2
19,FL->NC,13,39,2
19,FL->NC,14,0,2
19,FL->NC,15,0,2
19,FL->NC,16,0,2
19,FL->NC,17,0,2
19,FL->NC,18,0,2
19,FL->NC,19,30,2
19,FL->NC,20,0,2
20,FL->NC,1,0,3
20,FL->NC,2,0,3
20,FL->NC,3,28,3
20,FL->NC,4,0,3
20,FL->NC,5,20,3
20,FL->NC,6,27,3
20,FL->NC,7,27,3
20,FL->NC,8,0,3
20,FL->NC,9,20,3
20,FL->NC,10,0,3
20,FL->NC,11,0,3
20,FL->NC,12,0,3
20,FL->NC,13,0,3
20,FL->NC,14,0,3
20,FL->NC,15,0,3
20,FL->NC,16,0,3
20,FL->NC,17,12,3
20,FL->NC,18,0,3
20,FL->NC,19,0,3
20,FL->NC,20,0,3
21,NC->FL,1,0,5
21,NC->FL,2,0,5
21,NC->FL,3,32,5
21,NC->FL,4,0,5
21,NC->FL,5,0,5
21,NC->FL,6,0,5
21,NC->FL,7,30,5
21,NC->FL,8,30,5
21,NC->FL,9,19,5
21,NC->FL,10,19,5
21,NC->FL,11,0,5
21,NC->FL,12,0,5
21,NC->FL,13,0,5
21,NC->FL,14,0,5
21,NC->FL,15,0,5
21,NC->FL,16,0,5
21,NC->FL,17,31,5
21,NC->FL,18,0,5
21,NC->FL,19,19,5
21,NC->FL,20,19,5
22,NC->FL,1,0,6
22,NC->FL,2,0,6
22,NC->FL,3,0,6
22,NC->FL,4,0,6
22,NC->FL,5,0,6
22,NC->FL,6,0,6
22,NC->FL,7,0,6
22,NC->FL,8,0,6
22,NC->FL,9,26,6
22,NC->FL,10,27,6
22,NC->FL,11,0,6
22,NC->FL,12,0,6
22,NC->FL,13,26,6
22,NC->FL,14,0,6
22,NC->FL,15,0,6
22,NC->FL,16,0,6
22,NC->FL,17,12,6
22,NC->FL,18,0,6
22,NC->FL,19,0,6
22,NC->FL,20,0,6
23,FL->NC,1,0,4
23,FL->NC,2,0,4
23,FL->NC,3,0,4
23,FL->NC,4,0,4
23,FL->NC,5,36,4
23,FL->NC,6,0,4
23,FL->NC,7,0,4
23,FL->NC,8,0,4
23,FL->NC,9,0,4
23,FL->NC,10,0,4
23,FL->NC,11,0,4
23,FL->NC,12,0,4
23,FL->NC,13,0,4
23,FL->NC,14,0,4
23,FL->NC,15,0,4
23,FL->NC,16,0,4
23,FL->NC,17,0,4
